Governorate,Governorate_Ar,Internet_Usage,Home_Internet,Computer_Usage,Digital_Skills,Online_Purchase,Telecom_Spending,Smartphone_Ownership,Cash_On_Delivery_Pct,Smart_Payment_Offices,FTTH_Subscribers,Region_Type,Is_Federal,Digital_Readiness,Digital_Talent,E_Commerce_Adoption,FinTech_Opportunity,Overall_Digital_Score,Rank,Score_ECommerce,Score_FinTech,Score_SaaS_Tech,Score_Consumer_Apps,Best_Fit_Model,Market_Tier,Key_Strengths,Key_Bottlenecks
Baghdad,بغداد,98.0,93.4,29.1,58.6,64.4,500.2,98.0,99.7,63,26260,Federal,True,71.5,38.6,81.8,87.5,69.0,1,80.1,89.7,33.5,87.4,FinTech & Payments,Tier 1: Prime Market (سوق ذو أولوية قصوى),معدل شراء إلكتروني مرتفع (>50%) | قدرة إنفاق شهرية مرتفعة على التكنولوجيا | مهارات رقمية متقدمة بين الأفراد | شبكة مكاتب بطاقات ذكية ودفع إلكتروني واسعة,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش)
Erbil,أربيل,91.2,91.7,48.0,54.6,46.2,203.4,91.2,99.6,0,180000,Kurdistan,False,73.2,58.8,44.7,21.2,52.1,2,43.3,18.8,61.1,84.0,Consumer Apps,Tier 2: High Growth (سوق نمو سريع),مهارات رقمية متقدمة بين الأفراد | انتشار واسع للحواسيب واللابتوبات,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش) | قلة مكاتب الدفع الإلكتروني ونقاط الشحن
Basrah,البصرة,96.1,98.1,12.6,45.2,52.8,286.7,96.1,99.8,22,23000,Federal,True,65.6,25.7,56.5,41.7,48.6,3,54.9,40.7,21.1,83.9,Consumer Apps,Tier 2: High Growth (سوق نمو سريع),معدل شراء إلكتروني مرتفع (>50%) | قدرة إنفاق شهرية مرتفعة على التكنولوجيا | مهارات رقمية متقدمة بين الأفراد | شبكة مكاتب بطاقات ذكية ودفع إلكتروني واسعة,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش) | انخفاض استخدام الحواسيب والاعتماد شبه الحصري على الهواتف
Wasit,واسط,91.4,92.6,46.5,44.8,41.0,220.5,91.4,99.8,13,20000,Federal,True,71.2,38.8,43.7,25.8,47.1,4,41.9,24.5,36.2,83.3,Consumer Apps,Tier 2: High Growth (سوق نمو سريع),انتشار واسع للحواسيب واللابتوبات,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش)
Najaf,النجف,90.9,88.8,17.6,42.0,47.5,291.1,90.9,99.6,9,30000,Federal,True,62.2,26.9,53.2,36.3,45.9,5,51.5,35.0,23.3,79.4,Consumer Apps,Tier 2: High Growth (سوق نمو سريع),قدرة إنفاق شهرية مرتفعة على التكنولوجيا,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش) | قلة مكاتب الدفع الإلكتروني ونقاط الشحن
Kirkuk,كركوك,89.4,90.7,21.6,43.5,46.2,272.0,89.4,99.7,15,21000,Federal,True,63.7,28.3,50.5,35.2,45.8,6,48.9,34.1,24.4,79.1,Consumer Apps,Tier 2: High Growth (سوق نمو سريع),انتشار واسع للهواتف الذكية والإنترنت,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش)
Salah Al-Deen,صلاح الدين,89.1,82.0,36.7,46.2,43.1,224.6,89.1,99.8,17,25000,Federal,True,65.3,35.9,44.6,28.4,45.4,7,43.0,27.1,32.8,79.6,Consumer Apps,Tier 2: High Growth (سوق نمو سريع),مهارات رقمية متقدمة بين الأفراد | انتشار واسع للحواسيب واللابتوبات,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش)
Duhok,دهوك,94.3,92.8,37.4,44.0,41.5,194.2,94.3,99.8,0,65000,Kurdistan,False,69.6,39.0,42.2,18.3,44.8,8,40.4,16.1,37.6,84.4,Consumer Apps,Tier 3: Emerging (سوق ناشئ),انتشار واسع للحواسيب واللابتوبات,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش) | قلة مكاتب الدفع الإلكتروني ونقاط الشحن
Kerbela,كربلاء,91.9,86.9,13.4,41.6,48.0,265.0,91.9,99.7,5,35496,Federal,True,60.7,25.5,51.3,31.7,43.8,9,49.7,30.0,21.9,79.4,Consumer Apps,Tier 3: Emerging (سوق ناشئ),انتشار واسع للهواتف الذكية والإنترنت,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش) | انخفاض استخدام الحواسيب والاعتماد شبه الحصري على الهواتف | قلة مكاتب الدفع الإلكتروني ونقاط الشحن
Sulaymaniyah,السليمانية,85.0,80.6,20.6,48.2,43.8,189.5,85.0,99.7,0,140000,Kurdistan,False,60.2,41.2,41.0,18.5,42.3,10,39.7,16.1,41.1,75.1,Consumer Apps,Tier 3: Emerging (سوق ناشئ),مهارات رقمية متقدمة بين الأفراد,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش) | قلة مكاتب الدفع الإلكتروني ونقاط الشحن
Al-Anbar,الأنبار,87.1,88.6,14.0,40.8,41.2,235.4,87.1,99.8,16,30000,Federal,True,60.0,24.9,44.3,28.9,41.1,11,42.6,27.8,21.2,76.3,Consumer Apps,Tier 3: Emerging (سوق ناشئ),انتشار واسع للهواتف الذكية والإنترنت,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش) | انخفاض استخدام الحواسيب والاعتماد شبه الحصري على الهواتف
Al-Qadisiya,القادسية,88.9,84.1,27.1,39.0,38.0,208.4,88.9,99.9,19,25000,Federal,True,62.0,28.9,40.6,25.1,41.0,12,38.8,24.1,26.0,78.1,Consumer Apps,Tier 3: Emerging (سوق ناشئ),انتشار واسع للهواتف الذكية والإنترنت,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش)
Babylon,بابل,89.9,84.1,7.2,38.4,42.0,248.5,89.9,99.8,20,30355,Federal,True,57.2,21.1,46.4,32.2,40.5,13,44.7,31.4,17.3,76.8,Consumer Apps,Tier 3: Emerging (سوق ناشئ),شبكة مكاتب بطاقات ذكية ودفع إلكتروني واسعة,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش) | انخفاض استخدام الحواسيب والاعتماد شبه الحصري على الهواتف
Missan,ميسان,92.6,86.9,29.4,37.0,37.4,195.0,92.6,99.8,12,20000,Federal,True,64.0,28.4,39.8,20.8,40.4,14,37.9,19.4,25.7,81.2,Consumer Apps,Tier 3: Emerging (سوق ناشئ),انتشار واسع للهواتف الذكية والإنترنت,اعتماد كلي شبه تام على الدفع عند الاستلام (كاش)
